Unnamed: 0,사진,용도/사건,소재지 / 면적 / 특수권리,감정/최저가,현재상태,매각기일,조회
,,답2019-369(1)전주지방법원,전라북도 전주시 덕진구 성덕동 481-1  토지 135.52평,"51,968,000 36,378,000",유찰 3회 (70%),2023-04-03 오늘입찰,237
,,주택2019-2016평택지원,"경기도 평택시 독곡동 148-2  건물 299.38평 토지 1,019.09평 유치권","2,929,774,840 2,929,774,840",재진행 (100%),2023-04-03 오늘입찰,178
,,임야2019-4307안동지원,"경상북도 영주시 상망동 산57-1  토지 13,707.48평 분묘기지권","1,198,618,600 287,788,000",유찰 4회 (24%),2023-04-03 오늘입찰,250
,,아파트2018-7275(1)천안지원,충청남도 아산시 배방읍 회룡리 357-1 삼정백조1차아파트 101동 1층115호  건물 9.08평 토지 7.87평,"39,200,000 19,208,000",취하 2회 (49%),2023-04-03 오늘입찰,54
,,아파트2018-7275(2)천안지원,충청남도 아산시 배방읍 회룡리 357-1 삼정백조1차아파트 101동 2층202호  건물 9.08평 토지 7.87평,"40,300,000 19,747,000",취하 2회 (49%),2023-04-03 오늘입찰,21
,,아파트2018-7275(6)천안지원,충청남도 아산시 배방읍 회룡리 357-1 삼정백조1차아파트 101동 3층316호  건물 9.08평 토지 7.87평,"40,800,000 19,992,000",취하 2회 (49%),2023-04-03 오늘입찰,28
,,아파트2018-7275(7)천안지원,충청남도 아산시 배방읍 회룡리 357-1 삼정백조1차아파트 101동 3층317호  건물 9.08평 토지 7.87평,"40,800,000 19,992,000",취하 2회 (49%),2023-04-03 오늘입찰,19
,,아파트2018-7275(8)천안지원,충청남도 아산시 배방읍 회룡리 357-1 삼정백조1차아파트 101동 4층403호  건물 9.08평 토지 7.87평,"41,100,000 20,139,000",취하 2회 (49%),2023-04-03 오늘입찰,20
,,아파트2018-7275(10)천안지원,충청남도 아산시 배방읍 회룡리 357-1 삼정백조1차아파트 101동 4층409호  건물 9.08평 토지 7.87평,"41,100,000 20,139,000",취하 2회 (49%),2023-04-03 오늘입찰,16
,,아파트2018-7275(20)천안지원,충청남도 아산시 배방읍 회룡리 357-1 삼정백조1차아파트 101동 6층604호  건물 9.08평 토지 7.87평,"41,100,000 20,139,000",취하 2회 (49%),2023-04-03 오늘입찰,25
,,아파트2018-7275(21)천안지원,충청남도 아산시 배방읍 회룡리 357-1 삼정백조1차아파트 101동 6층607호  건물 9.08평 토지 7.87평,"41,100,000 20,139,000",취하 2회 (49%),2023-04-03 오늘입찰,20
,,아파트2018-7275(22)천안지원,충청남도 아산시 배방읍 회룡리 357-1 삼정백조1차아파트 101동 6층608호  건물 9.08평 토지 7.87평,"41,100,000 20,139,000",취하 2회 (49%),2023-04-03 오늘입찰,23
,,아파트2018-7275(23)천안지원,충청남도 아산시 배방읍 회룡리 357-1 삼정백조1차아파트 101동 6층609호  건물 9.08평 토지 7.87평,"41,100,000 20,139,000",취하 2회 (49%),2023-04-03 오늘입찰,20
,,아파트2018-7275(24)천안지원,충청남도 아산시 배방읍 회룡리 357-1 삼정백조1차아파트 101동 6층612호  건물 9.08평 토지 7.87평,"41,100,000 20,139,000",취하 2회 (49%),2023-04-03 오늘입찰,39
,,오피스텔2020-1919순천지원,"전라남도 순천시 장선배기1길 28, 5층502호  건물 9.21평 토지 2.41평 임차권등기","86,000,000 5,171,000",유찰 12회 (6%),2023-04-03 오늘입찰,512
,,근린상가2020-3356서울동부지방법원,"서울특별시 송파구 송파대로28길 20, 8층806호  건물 8.53평 토지 2.05평 [투기지역,투기과열지구,조정대상지역]","90,000,000 90,000,000",재진행 (100%),2023-04-03 오늘입찰,117
